T_max,disp_max,sigma_vm_max,J_in,h_conv,mat_left,mat_right
301.1290705700675,6.039950713717412e-07,739462.827613363,2000000.0,300,Ni,Al
300.7025231222676,1.9402289982580987e-07,245553.34523337748,2000000.0,300,Ni,Cu
302.62216716978395,5.333511591790396e-07,992919.3111819761,2000000.0,300,Ni,Fe
302.1187191093806,4.2752415265348585e-07,878587.9606141687,2000000.0,300,Ni,Ni
300.43214525881535,1.615650539945132e-07,113929.42943619164,2000000.0,500,Al,Al
300.2671804342033,1.2514386831340624e-07,78934.39075285285,2000000.0,500,Al,Cu
301.19978334878016,6.936834057061162e-07,1016052.0882499868,2000000.0,500,Al,Fe
300.91290985370233,5.002724970597315e-07,731609.5673037332,2000000.0,500,Al,Ni
300.2671806400731,1.251270033449965e-07,70028.46697916159,2000000.0,500,Cu,Al
300.1624071279897,4.248131504732773e-08,46156.69934977996,2000000.0,500,Cu,Cu
300.8133350883172,2.413597988938738e-07,312583.0440860813,2000000.0,500,Cu,Fe
300.60332496423456,1.686112898018192e-07,248679.00254145986,2000000.0,500,Cu,Ni
301.199782684493,6.935720385496798e-07,826379.1307569288,2000000.0,500,Fe,Al
300.81333387655013,2.4132022774958903e-07,278391.3074364483,2000000.0,500,Fe,Cu
302.36443803109455,4.512857981443671e-07,952686.4667885568,2000000.0,500,Fe,Fe
301.98207171052115,4.1361720891188444e-07,869671.7231538057,2000000.0,500,Fe,Ni
300.91290940545116,5.00193355098782e-07,594217.0263387419,2000000.0,500,Ni,Al
300.6033241691981,1.6858556174896307e-07,221778.69014597737,2000000.0,500,Ni,Cu
301.9820718743341,4.1365805701816563e-07,822678.3709349488,2000000.0,500,Ni,Fe
301.6128634455683,3.3386348495342673e-07,729908.9540561185,2000000.0,500,Ni,Ni
301.5968604435473,5.722957599231183e-07,369355.5767347368,3000000.0,5,Al,Al
300.86128833550794,3.8558699547747576e-07,243935.45875629655,3000000.0,5,Al,Cu
305.20577239400427,2.8060387456912095e-06,4444079.274006708,3000000.0,5,Al,Fe
303.8944795802319,1.988455339426951e-06,3143990.3678496806,3000000.0,5,Al,Ni
300.8612924719739,3.855339485894283e-07,204297.14571905535,3000000.0,5,Cu,Al
300.4821562787706,1.2329200842697874e-07,127866.59598281795,3000000.0,5,Cu,Cu
302.8393091688443,8.143005913597948e-07,1098301.9327538693,3000000.0,5,Cu,Fe
302.089125361841,5.632080209462202e-07,749679.1803473331,3000000.0,5,Cu,Ni
305.2057449627417,2.8055819367534697e-06,3614840.119932021,3000000.0,5,Fe,Al
302.83927853488547,8.141691314514871e-07,886261.3396394891,3000000.0,5,Fe,Cu
313.83965009036297,2.4256630576785094e-06,4222710.999599298,3000000.0,5,Fe,Fe
311.20042502290624,2.152269682944387e-06,3778068.454107632,3000000.0,5,Fe,Ni
303.8944621054289,1.988135694383008e-06,2553977.1632815176,3000000.0,5,Ni,Al
302.08910454221416,5.631233256675072e-07,669231.8883729167,3000000.0,5,Ni,Cu
